date,open,high,low,close,volume
3/20/2024 8:00,62957.85,63295,62668.8,62684.71,3392.83957
3/20/2024 9:00,62684.71,63369.58,62640,63215.9,2699.96209
3/20/2024 10:00,63215.91,63289.15,62841.1,63041.1,1833.64396
3/20/2024 11:00,63041.09,63957.74,62973.15,63392.94,3175.41018
3/20/2024 12:00,63392.95,64353.57,63175.17,64056.07,3806.14567
3/20/2024 13:00,64056.07,64059.59,63066.6,63608.83,3240.34892
3/20/2024 14:00,63608.83,64330,63453.01,64227.38,3474.01266
3/20/2024 15:00,64227.38,64395,63400.01,63600.37,4056.89317
3/20/2024 16:00,63600.37,63790,62022,63103.63,5770.15508
3/20/2024 17:00,63103.63,64776.72,62841.11,64107.58,5445.74262
3/20/2024 18:00,64107.58,65470,63952.39,65414.93,4302.3525
3/20/2024 19:00,65414.93,66000,65100.3,65784.46,4042.14942
3/20/2024 20:00,65784.47,67793,65656.41,67057.56,6047.75768
3/20/2024 21:00,67057.56,67899.99,66913.93,67676.15,3381.99515
3/20/2024 22:00,67676.15,68100,67355.21,67681.94,2784.95762
3/20/2024 23:00,67681.94,68050.72,67424.11,67840.51,2300.99113
3/21/2024 0:00,67840.51,68240.47,67430,67656,2922.10611
3/21/2024 1:00,67656.01,67951.15,67656,67796.93,1712.23034
3/21/2024 2:00,67796.94,67932.6,67500,67531.96,1730.15348
3/21/2024 3:00,67531.96,67740,66340,66654.45,3183.54058
3/21/2024 4:00,66654.46,66948,66479.46,66719.99,2173.60177
3/21/2024 5:00,66719.99,67082.06,66072.2,67009.51,2339.47726
3/21/2024 6:00,67009.51,67330,66911.27,66980.01,1916.09621
3/21/2024 7:00,66980.01,67324,66920.7,66985.19,1346.64031
3/21/2024 8:00,66985.19,67659.53,66980,67283.55,2334.4347
3/21/2024 9:00,67283.54,67360,66650,66843.96,1937.5788
3/21/2024 10:00,66843.96,67020,66660,66966.84,1182.47318
3/21/2024 11:00,66966.83,67229.62,66740,67044,1371.65852
3/21/2024 12:00,67044.01,67469,67000,67244.01,1534.85792
3/21/2024 13:00,67244.01,67693.6,66620,66736.01,3275.81086
3/21/2024 14:00,66736.01,67395.2,66531.53,66860.07,2038.26807
3/21/2024 15:00,66860.07,66981.01,65885.96,66557.77,3395.32536
3/21/2024 16:00,66557.77,66826.75,66183.9,66791.93,1985.16397
3/21/2024 17:00,66791.93,67000,65666,65724.99,2748.887
3/21/2024 18:00,65724.99,65867.92,64871.01,65133.67,4029.80755
3/21/2024 19:00,65133.66,65568.56,64956.26,65223.74,3119.58995
3/21/2024 20:00,65223.73,65946.66,64529.01,65479.93,3705.33095
3/21/2024 21:00,65479.94,65730,65100,65653.97,1036.75324
3/21/2024 22:00,65653.98,65857.27,65343.23,65392.19,1369.35992
3/21/2024 23:00,65392.2,65624.13,65282,65501.27,968.33397
3/22/2024 0:00,65501.28,65985.44,65360,65794,1870.24114
3/22/2024 1:00,65793.99,65930,65212.73,65243.99,1560.27908
3/22/2024 2:00,65243.99,65717.19,65120.01,65644,1573.77753
3/22/2024 3:00,65644,66160,65570.89,65981.99,1855.84887
3/22/2024 4:00,65981.99,66288.02,65756.64,66144.85,1210.03178
3/22/2024 5:00,66144.85,66434.48,65938.34,66430.01,1112.9058
3/22/2024 6:00,66430.01,66649.62,66305.79,66448.08,1636.42496
3/22/2024 7:00,66448.08,66448.09,66124.5,66178.01,1046.28159
3/22/2024 8:00,66178.01,66363.1,65805.23,65858.68,1391.36805
3/22/2024 9:00,65858.68,66053.7,65344.41,65481.99,1549.15207
3/22/2024 10:00,65482,65600,64540.01,64656.37,2887.55684
3/22/2024 11:00,64656.37,64956,64065.72,64233.9,2536.68712
3/22/2024 12:00,64233.9,64674.06,63924.42,64260.51,2428.78925
3/22/2024 13:00,64260.51,64433.27,62820,63058.61,4779.54613
3/22/2024 14:00,63058.61,63465.3,62601.11,62739.99,4475.01124
3/22/2024 15:00,62739.99,64341.89,62634.58,63877.04,4095.69022
