date,open,high,low,close,volume,name
8/28/2006,148.25,150.54,147.88,149.53,4151000,GS
8/29/2006,149.6,149.79,145.66,147.09,4939600,GS
8/30/2006,147.2,147.76,146.42,147.06,2938200,GS
8/31/2006,147.07,148.75,147.07,148.65,2834600,GS
9/1/2006,148.7,149.43,147.13,149.14,3453100,GS
9/5/2006,149.75,151.51,149.05,151.28,3576200,GS
9/6/2006,150.65,151.44,149.92,150.67,2962200,GS
9/7/2006,150.1,150.68,148.35,148.57,3577600,GS
9/8/2006,151,151,147.52,149.8,3317500,GS
9/11/2006,149.25,151.23,149.15,151,3134200,GS
9/12/2006,154.75,159.75,154.71,158.29,10644800,GS
9/13/2006,157.7,162.26,156.81,160.86,7620900,GS
9/14/2006,159.75,163.18,159.52,162.52,5498000,GS
9/15/2006,162.5,163.75,161.52,162.71,6846200,GS
9/18/2006,162.02,164.8,162,163.22,5733300,GS
9/19/2006,163.08,164.22,162.31,163.39,4851500,GS
9/20/2006,164.63,167.16,164.23,166.6,6407400,GS
9/21/2006,167.5,169.69,165.86,167.15,8052600,GS
9/22/2006,166.95,168.33,165.76,167.52,5104700,GS
9/25/2006,167.9,169.42,167,168.69,4780100,GS
9/26/2006,167.94,169.92,167.02,168.68,6109300,GS
9/27/2006,168.93,169.9,167.25,169,5185300,GS
9/28/2006,168.95,170,167.8,170,4413800,GS
9/29/2006,170.05,171.15,169.1,169.17,4394700,GS
10/2/2006,168.51,171.45,168.51,170.69,4143700,GS
10/3/2006,170.44,174.4,170.1,174.2,5823600,GS
10/4/2006,173.31,176.66,173.31,176.56,8089400,GS
10/5/2006,176.52,176.52,174.69,175.5,5749700,GS
10/6/2006,174.32,176,173.8,175.65,4898200,GS
10/9/2006,175.4,177.49,175.32,177.45,3985700,GS
10/10/2006,177.05,179.85,176.79,178.86,6560900,GS
10/11/2006,177.3,178.97,176.75,178.97,5615900,GS
10/12/2006,179.27,181.92,178.61,181.51,5754400,GS
10/13/2006,181.21,183.96,180.65,183.85,5163300,GS
10/16/2006,183.82,185.48,183.09,185.22,4699100,GS
10/17/2006,184.22,184.71,182.14,183.07,5867200,GS
10/18/2006,184.07,184.65,181.85,182.97,6127000,GS
10/19/2006,181.25,182.63,179.9,180.05,5562500,GS
10/20/2006,179.72,180.69,178.85,180.4,4206600,GS
10/23/2006,180.23,184.87,180.21,184.7,4696000,GS
10/24/2006,184.52,188.25,184.4,187.84,5516500,GS
10/25/2006,188.64,189.69,187.16,188.61,5224400,GS
10/26/2006,189.18,193.6,188.29,193.38,5732500,GS
10/27/2006,192.01,193.23,188.39,188.67,5703200,GS
10/30/2006,188,190.55,186.7,189.75,5355000,GS
10/31/2006,190,191.02,188.88,189.79,4548500,GS
11/1/2006,191,192.21,184.75,185,7732000,GS
11/2/2006,184.51,187.79,182.7,187.39,6191100,GS
11/3/2006,188.9,188.95,185.3,187.13,4154000,GS
11/6/2006,187.68,191.7,187.68,190,4639000,GS
11/7/2006,190.2,191.42,188.56,188.68,3697900,GS
11/8/2006,187.65,189.92,186.5,188.77,3989900,GS
11/9/2006,188.4,189,184.78,184.78,4488600,GS
11/10/2006,185.46,187.07,184.6,187.06,3319800,GS
11/13/2006,187.65,189.8,187.23,187.73,3382700,GS
11/14/2006,188.4,190.94,185.4,190.36,4702800,GS
11/15/2006,190.37,194.32,189.84,193.11,5091000,GS
11/16/2006,194,196.8,194,196.72,4784000,GS
11/17/2006,195.98,197,194.88,195.04,3397800,GS
11/20/2006,195.35,198.11,195.03,197.45,3344900,GS
11/21/2006,199,199.89,198.29,199.76,3448100,GS
11/22/2006,200,202.47,199.99,202.29,3062200,GS
11/24/2006,200.23,203.35,199.15,201.6,1978900,GS
11/27/2006,201.35,202.1,193.11,193.11,6330900,GS
11/28/2006,193,197.49,191.5,197.12,5865000,GS
11/29/2006,197.99,199.45,193.06,196.22,5915200,GS
11/30/2006,195.98,196.45,193.18,194.8,4082600,GS
12/1/2006,195.7,196.43,191.52,194.5,4821200,GS
12/4/2006,195.65,200.08,195.39,200.05,4261300,GS
12/5/2006,199.7,202.25,198.21,201.61,3733000,GS
12/6/2006,202,205.05,201,205,4135600,GS
12/7/2006,206.7,206.7,200,200.2,5238400,GS
12/8/2006,200.24,205.26,200,205.1,4971100,GS
12/11/2006,205.5,205.5,201.84,202.52,5926500,GS
12/12/2006,200.21,203.85,198.44,200,8950600,GS
12/13/2006,200.16,201.78,198,198.31,5823000,GS
12/14/2006,199.2,200.8,197.63,200.13,5081500,GS
12/15/2006,200.61,201.95,199.8,199.84,5451800,GS
12/18/2006,200.5,203.59,199.64,203.24,6019300,GS
12/19/2006,201.98,202.67,200.43,201.24,4865700,GS
12/20/2006,201.79,204.31,201.24,201.37,4338200,GS
12/21/2006,202.36,202.69,197.7,198.1,4661800,GS
12/22/2006,199.1,199.15,195.66,198.09,3500800,GS
12/26/2006,198.9,200.6,198.29,199.86,2575600,GS
12/27/2006,199.86,202.29,199.72,201.95,2887300,GS
12/28/2006,202.33,202.48,199.76,200.8,2396400,GS
12/29/2006,200.93,202.4,199.32,199.35,2762500,GS
1/3/2007,200.6,203.32,197.82,200.72,6515000,GS
1/4/2007,200.22,200.67,198.07,198.85,6478800,GS
1/5/2007,198.43,200,197.9,199.05,6037100,GS
1/8/2007,199.05,203.95,198.1,203.73,7851000,GS
1/9/2007,203.54,204.9,202,204.08,7177300,GS
1/10/2007,203.4,208.44,201.5,208.11,8022400,GS
1/11/2007,208.34,213.17,207.6,211.88,9044600,GS
1/12/2007,210.9,214.22,210.4,213.99,6619000,GS
1/16/2007,200,215.13,200,213.59,5848800,GS
1/17/2007,212.2,214.09,210.85,213.23,5360500,GS
1/18/2007,213.75,214.81,209.1,209.68,6541600,GS
1/19/2007,209.08,211.44,208.84,210.29,5340300,GS
1/22/2007,211.09,213.25,209.6,212.97,4980700,GS
1/23/2007,212.82,213.42,210.65,212.64,6293500,GS
1/24/2007,213.51,220.17,213.03,220.1,6387500,GS
1/25/2007,202,220.51,212.51,213.07,7855400,GS
1/26/2007,214.56,214.9,210.6,213.5,7458200,GS
1/29/2007,213.9,215.08,210.13,211.04,5891100,GS
1/30/2007,211.08,212.31,208.37,208.78,6002200,GS
1/31/2007,208.3,212.75,207.29,212.16,7236100,GS
2/1/2007,213.44,213.9,209.73,212,5961200,GS
2/2/2007,211,213.9,211,213.43,3527000,GS
2/5/2007,213.3,213.72,211.5,212.55,3003700,GS
2/6/2007,213.29,215.86,212.7,214.65,3803200,GS
2/7/2007,215.03,215.85,213.1,213.55,3622600,GS
2/8/2007,212.09,215.21,209.81,213.9,5413500,GS
2/9/2007,215.77,219.26,210.58,213.28,9113800,GS
2/12/2007,213.75,214,209.87,211.13,5384589,GS
2/13/2007,211.98,213.3,210.47,212.53,4022951,GS
2/14/2007,213.7,219.1,212.79,217.4,7697325,GS
2/15/2007,217.94,218.84,216.41,216.82,3627700,GS
2/16/2007,215.96,217.5,215.02,216.92,3119200,GS
2/20/2007,216.92,221.9,215.97,220.94,6225700,GS
2/21/2007,220.94,221.5,218.16,220.15,5225500,GS
2/22/2007,221,222.75,218,218.97,4273400,GS
2/23/2007,218.97,219.8,215.55,216.5,5508300,GS
2/26/2007,218.97,218.37,212.66,214,5552985,GS
2/27/2007,209.75,210.4,194.65,199.76,18854200,GS
2/28/2007,200.4,203.85,197.79,201.75,15947900,GS
3/1/2007,197.12,202.7,194.08,199.66,14143801,GS
3/2/2007,198.2,200.92,195.59,195.67,9843700,GS
3/5/2007,193.55,197.49,189.85,190,13412125,GS
3/6/2007,190,198.2,193.7,197.37,10798973,GS
3/7/2007,197.37,199,195.5,195.59,8459800,GS
3/8/2007,198.03,202.02,198,199.94,10790300,GS
3/9/2007,202.95,202.99,198.86,201.7,7681600,GS
3/12/2007,200,202.89,198.86,202.6,9632300,GS
3/13/2007,204.96,208.56,198.52,199.03,31973100,GS
3/14/2007,200,202.16,197.54,200.15,20394212,GS
3/15/2007,200.15,202.37,199.5,200.89,9743900,GS
3/16/2007,200.79,201.05,198.27,199,10883900,GS
3/19/2007,201.32,202.5,200.44,202.44,8186284,GS
